DateTime, Breathing, Vert Accelerometer, Lat Accelerometer, Long Accelerometer
2023-02-03 11:39:43.015+00:00, 515, 82, 917, -234
2023-02-03 11:39:43.054+00:00, 515, 4, 963, -242
2023-02-03 11:39:43.093+00:00, 515, 20, 948, -254
2023-02-03 11:39:43.132+00:00, 515, -70, 874, -218
2023-02-03 11:39:43.171+00:00, 515, -16, 944, -234
2023-02-03 11:39:43.210+00:00, 515, -16, 913, -254
2023-02-03 11:39:43.250+00:00, 515, -51, 909, -254
2023-02-03 11:39:43.289+00:00, 515, -31, 909, -261
2023-02-03 11:39:43.328+00:00, 515, -62, 905, -257
2023-02-03 11:39:43.367+00:00, 515, -35, 897, -265
2023-02-03 11:39:43.406+00:00, 514, -51, 897, -289
2023-02-03 11:39:43.445+00:00, 514, -43, 862, -281
2023-02-03 11:39:43.484+00:00, 514, -31, 878, -300
2023-02-03 11:39:43.523+00:00, 514, -47, 885, -308
2023-02-03 11:39:43.562+00:00, 514, -27, 874, -312
2023-02-03 11:39:43.601+00:00, 514, -31, 839, -320
2023-02-03 11:39:43.640+00:00, 514, 0, 858, -332
2023-02-03 11:39:43.679+00:00, 514, 4, 835, -308
2023-02-03 11:39:43.718+00:00, 514, -23, 866, -332
2023-02-03 11:39:43.757+00:00, 514, -4, 866, -332
2023-02-03 11:39:43.796+00:00, 514, 0, 839, -335
2023-02-03 11:39:43.835+00:00, 514, -12, 870, -332
2023-02-03 11:39:43.875+00:00, 514, 4, 878, -339
2023-02-03 11:39:43.914+00:00, 514, -8, 885, -339
2023-02-03 11:39:43.953+00:00, 514, 0, 850, -335
2023-02-03 11:39:43.992+00:00, 514, 4, 850, -347
2023-02-03 11:39:44.031+00:00, 514, -8, 897, -339
2023-02-03 11:39:44.070+00:00, 514, 8, 858, -347
2023-02-03 11:39:44.109+00:00, 514, 4, 862, -343
2023-02-03 11:39:44.148+00:00, 514, -4, 889, -343
2023-02-03 11:39:44.187+00:00, 514, 4, 870, -343
2023-02-03 11:39:44.226+00:00, 514, 4, 846, -347
2023-02-03 11:39:44.265+00:00, 514, 4, 858, -335
2023-02-03 11:39:44.304+00:00, 514, 0, 893, -343
2023-02-03 11:39:44.343+00:00, 514, 16, 839, -347
2023-02-03 11:39:44.382+00:00, 513, 4, 866, -347
2023-02-03 11:39:44.421+00:00, 513, -4, 885, -332
2023-02-03 11:39:44.460+00:00, 513, 0, 866, -347
2023-02-03 11:39:44.500+00:00, 513, 8, 874, -343
2023-02-03 11:39:44.539+00:00, 513, 0, 854, -339
2023-02-03 11:39:44.578+00:00, 513, 4, 866, -343
2023-02-03 11:39:44.617+00:00, 513, -4, 858, -343
2023-02-03 11:39:44.656+00:00, 513, 4, 850, -347
2023-02-03 11:39:44.695+00:00, 513, -4, 858, -332
2023-02-03 11:39:44.734+00:00, 513, -4, 854, -332
2023-02-03 11:39:44.773+00:00, 513, -8, 885, -343
2023-02-03 11:39:44.812+00:00, 513, 4, 850, -343
2023-02-03 11:39:44.851+00:00, 513, 0, 878, -355
2023-02-03 11:39:44.890+00:00, 513, 4, 878, -343
2023-02-03 11:39:44.929+00:00, 513, 0, 854, -339
2023-02-03 11:39:44.968+00:00, 513, -8, 866, -343
2023-02-03 11:39:45.007+00:00, 513, -16, 889, -339
2023-02-03 11:39:45.046+00:00, 513, 4, 874, -339
2023-02-03 11:39:45.085+00:00, 513, 4, 854, -343
2023-02-03 11:39:45.125+00:00, 513, 0, 850, -335
2023-02-03 11:39:45.164+00:00, 513, 0, 874, -332
2023-02-03 11:39:45.203+00:00, 513, 0, 866, -335
2023-02-03 11:39:45.242+00:00, 513, -4, 878, -343
