,Time,X,Y,Z
244,1159,-0.1172525,0.12921704,9.722385
245,1163,-0.14118157,0.13878867,9.751101
246,1168,-0.12682413,0.12443122,9.736743
247,1173,-0.1459674,0.107680865,9.724778
248,1178,-0.15075321,0.1172525,9.731957
249,1182,-0.10289505,0.1172525,9.748708
250,1187,-0.12443122,0.14118157,9.755886
251,1192,-0.14357449,0.13400285,9.755886
252,1197,-0.13400285,0.12443122,9.777423
253,1201,-0.110073775,0.14357449,9.73435
254,1206,-0.12682413,0.12921704,9.739136
255,1211,-0.16032484,0.12921704,9.758279
256,1216,-0.13639577,0.1196454,9.712814
257,1220,-0.1172525,0.1459674,9.731957
258,1225,-0.11485959,0.16032484,9.715207
259,1230,-0.13400285,0.12443122,9.770244
260,1235,-0.15314612,0.14118157,9.729565
261,1239,-0.13878867,0.14357449,9.736743
262,1244,-0.11246668,0.14118157,9.710421
263,1249,-0.10289505,0.13160995,9.739136
264,1254,-0.08375178,0.14118157,9.775029
265,1258,-0.11485959,0.11485959,9.736743
266,1263,-0.110073775,0.14118157,9.748708
267,1268,-0.15793194,0.11485959,9.6912775
268,1273,-0.07896597,0.13639577,9.736743
269,1277,-0.14118157,0.12203831,9.719993
270,1282,-0.12921704,0.13400285,9.7415285
271,1287,-0.13400285,0.13160995,9.731957
272,1292,-0.13639577,0.12443122,9.758279
273,1296,-0.13160995,0.14118157,9.736743
274,1301,-0.15075321,0.1172525,9.786994
275,1306,-0.10289505,0.16032484,9.760673
276,1311,-0.13400285,0.110073775,9.7415285
277,1315,-0.10050214,0.1196454,9.739136
278,1320,-0.13878867,0.12682413,9.73435
279,1325,-0.13400285,0.12921704,9.724778
280,1330,-0.12682413,0.1483603,9.753493
281,1334,-0.1196454,0.11246668,9.755886
282,1339,-0.105287954,0.1459674,9.748708
283,1344,-0.11246668,0.12682413,9.731957
284,1349,-0.08614469,0.15314612,9.729565
285,1353,-0.13878867,0.11246668,9.7176
286,1358,-0.13400285,0.13639577,9.784601
287,1363,-0.09332342,0.11485959,9.758279
288,1368,-0.11246668,0.13160995,9.724778
289,1372,-0.110073775,0.13400285,9.73435
290,1377,-0.12443122,0.12682413,9.739136
291,1382,-0.110073775,0.11485959,9.736743
292,1387,-0.15314612,0.11246668,9.705635
293,1391,-0.09810923,0.13639577,9.755886
294,1396,-0.13878867,0.11485959,9.782208
295,1401,-0.12443122,0.11485959,9.751101
296,1406,-0.13639577,0.09810923,9.755886
297,1410,-0.110073775,0.14357449,9.73435
298,1415,-0.12921704,0.12203831,9.731957
299,1420,-0.14357449,0.12443122,9.779816
300,1425,-0.12921704,0.08375178,9.708028
301,1429,-0.10289505,0.13878867,9.722385
302,1434,-0.15314612,0.11246668,9.715207
303,1439,-0.15553902,0.12682413,9.686492
304,1444,-0.12203831,0.12682413,9.715207
305,1448,-0.09571633,0.14118157,9.760673
306,1453,-0.13160995,0.15314612,9.73435
307,1458,-0.15553902,0.13400285,9.73435
308,1463,-0.105287954,0.14118157,9.70085
309,1467,-0.11246668,0.15314612,9.746315
310,1472,-0.14118157,0.16032484,9.715207
311,1477,-0.11246668,0.11485959,9.775029
312,1482,-0.07896597,0.13400285,9.729565
313,1486,-0.12921704,0.12203831,9.703242
314,1491,-0.15553902,0.1196454,9.7176
315,1496,-0.15793194,0.1172525,9.7176
316,1501,-0.1459674,0.17228939,9.727171
317,1505,-0.12682413,0.13400285,9.70085
318,1510,-0.105287954,0.15314612,9.731957
319,1515,-0.088537596,0.1196454,9.722385
320,1520,-0.13160995,0.1196454,9.729565
321,1524,-0.12921704,0.12203831,9.743921
322,1529,-0.1459674,0.105287954,9.765458
323,1534,-0.16989647,0.12203831,9.767851
324,1539,-0.11246668,0.11485959,9.73435
325,1543,-0.15793194,0.15314612,9.727171
326,1548,-0.13878867,0.12921704,9.746315
327,1553,-0.17228939,0.16511066,9.679314
328,1558,-0.13400285,0.12443122,9.746315
329,1562,-0.12443122,0.13878867,9.73435
330,1567,-0.11246668,0.16989647,9.743921
331,1572,-0.12203831,0.1483603,9.767851
332,1577,-0.09332342,0.12682413,9.755886
333,1581,-0.09810923,0.12443122,9.746315
334,1586,-0.1172525,0.12443122,9.753493
