time,gFx,gFy,gFz
4.845618,-0.9389,-0.1397,0.6169
4.864686,-0.8446,-0.245,1.193
4.884844,-0.7588,-0.2893,1.063
4.904705,-1.0268,-0.258,0.3166
4.92922,-0.911,0.009,-0.5397
4.94579,-1.2103,0.1578,0.7293
4.964684,-1.2213,-0.0415,0.2985
4.98599,-1.2506,0.0557,0.1263
5.004925,-1.3364,0.1346,0.0095
5.024175,-1.1729,-0.0117,-0.3564
5.045426,-1.0696,-0.1498,-0.2788
5.065318,-0.9702,-0.2323,-0.2152
5.084853,-0.9741,-0.1678,-0.1556
5.105654,-1.008,-0.0804,0.0706
5.124413,-0.9619,-0.0362,0.1239
5.145079,-0.9335,-0.0806,-0.0955
5.164952,-0.9643,-0.0467,-0.1185
5.184751,-1.0176,-0.0313,-0.0352
5.205125,-1.0498,-0.0237,-0.0195
5.225439,-1.1023,-0.0134,0.0347
5.245293,-1.2013,0.0105,0.001
5.265072,-1.2668,-0.0081,-0.0015
5.286615,-1.2035,-0.0086,0.0906
5.304557,-1.0193,0.0889,0.0992
5.324728,-0.8282,0.1371,0.0989
5.345091,-0.8505,0.141,-0.0608
5.365374,-0.8529,0.1791,0.002
5.384775,-0.9018,0.0762,0.2475
5.405474,-1.1028,-0.0933,0.2597
5.424701,-1.1429,0.0012,0.2013
5.445051,-1.1041,0.1415,0.0613
5.465349,-1.0066,0.1314,0.009
5.486497,-0.9067,0.0115,0.1219
5.504907,-0.8837,-0.0186,0.2575
5.524302,-0.9438,0.0596,0.2057
5.544811,-0.9831,0.1131,0.13
5.565985,-0.977,0.0396,0.1573
5.584759,-0.9848,-0.0129,0.2267
5.605542,-0.9223,0.0051,0.2805
5.625817,-0.8346,-0.0327,0.2231
5.645421,-0.7027,0.0078,0.2426
5.665253,-0.6489,0.0621,0.2199
5.684784,-0.6594,0.0562,0.1932
5.704819,-0.7366,0.0447,0.1642
5.724768,-0.8488,-0.0335,0.1691
5.745049,-1.0388,-0.1153,0.2052
5.765093,-1.1255,-0.1234,0.1967
5.784539,-1.0442,-0.087,0.1454
5.804703,-0.9817,-0.1148,0.0313
5.826479,-0.8983,-0.0999,-0.074
5.845804,-0.848,-0.075,-0.2006
5.864629,-0.9421,-0.1119,-0.2709
5.884768,-1.1808,-0.1407,-0.1788
5.904458,-1.3896,-0.0872,-0.0963
5.92483,-1.5294,0.0679,-0.2768
5.945398,-1.3281,-0.0308,-0.1791
5.964485,-1.1952,-0.2871,0.0017
5.985059,-1.0547,-0.2939,0.1256
6.005543,-0.9997,-0.235,0.0208
6.025137,-0.9301,-0.077,0.0337
6.045308,-0.9404,0.0318,0.0327
6.065377,-0.9101,0.0511,0.0381
6.084471,-0.872,-0.0078,-0.0066
6.105217,-0.9042,-0.1295,0.0559
6.124925,-1.0051,-0.1566,0.1214
6.14524,-1.0518,-0.1888,0.1222
6.165245,-1.0447,-0.2035,0.0862
6.185617,-1.0813,-0.2008,0.0545
6.204914,-1.0178,-0.1779,0.1324
6.224703,-0.8297,-0.1495,0.1112
6.244908,-0.7747,0.0056,-0.0796
6.264592,-0.9152,0.088,-0.2218
6.285558,-1.1549,-0.0217,-0.1793
6.304733,-1.237,-0.0982,0.0567
6.324352,-1.1962,-0.0721,0.0423
6.345023,-1.0833,-0.0325,-0.0694
6.367957,-0.9646,-0.0911,-0.0953
6.38457,-0.9005,-0.2135,-0.0349
6.405056,-0.9096,-0.2028,0.0132
6.424744,-0.9606,-0.0752,0.0017
6.444967,-0.9225,-0.0064,-0.0191
6.465137,-0.8744,0.0342,-0.0337
6.48676,-0.9387,0.076,-0.0728
6.504736,-1.0278,0.0789,-0.119
6.524842,-1.1114,0.0821,-0.1952
6.545285,-1.1732,0.1129,-0.2597
6.564739,-1.3036,0.2387,-0.3393
6.584958,-1.2672,0.1913,-0.1984
6.605137,-1.0811,0.0029,-0.0037
6.624644,-0.9736,-0.1004,0.0533
6.645182,-0.8756,-0.088,0.0296
6.66498,-0.8099,-0.0296,-0.0347
6.686057,-0.8119,0.034,-0.1143
6.704865,-0.8214,0.1007,-0.1534
6.724955,-0.9123,0.1559,0.1695
6.745135,-1.0676,0.0726,0.127
6.765124,-1.1536,0.0264,-0.0667
6.785462,-1.1815,0.0105,-0.0205
6.804614,-1.1136,-0.0193,0.0586
6.824946,-1.0278,-0.0611,0.0064
6.84509,-0.9704,-0.0872,-0.0599
6.864828,-0.9296,-0.0855,-0.0501
6.885188,-0.9333,-0.0716,-0.0073
6.905523,-1.0107,-0.0662,0.0713
6.924875,-1.0967,-0.0601,0.0853
6.945109,-1.1023,-0.0577,0.0479
6.964958,-1.0774,-0.0515,0.0344
6.984848,-1.0525,-0.0371,-0.0024
7.005054,-1.0071,-0.0391,-0.0029
7.024721,-0.9699,-0.0809,0.0564
7.044744,-0.934,-0.129,0.0286
7.064738,-0.9479,-0.1307,-0.0112
7.084968,-1.0012,-0.1009,0.0249
7.10499,-1.04,-0.0599,0.0601
7.125318,-1.0867,-0.0242,-0.0374
7.145256,-1.1683,0.033,-0.0464
7.16521,-1.1334,0.0594,0.0955
7.185561,-1.1265,0.2011,0.0022
7.206986,-0.9093,0.0994,0.0887
7.224803,-0.668,-0.0545,0.0906
7.244814,-0.5888,-0.162,0.0261
7.265004,-0.8705,0.0083,-0.0088
7.28476,-1.1434,0.1456,0.063
7.304893,-1.1595,0.0972,0.1126
7.324638,-0.9983,-0.0022,0.0447
7.346351,-0.9057,-0.0398,-0.0293
7.364668,-0.9602,0.009,-0.0963
7.384801,-1.1461,0.0418,-0.1847
7.404659,-1.2795,0.0501,-0.0315
7.424417,-1.1409,0.0469,0.1495
7.448189,-0.8683,0.0073,0.1327
7.465026,-0.7618,0.0071,0.0173
7.48701,-0.8693,0.0491,-0.1507
7.504627,-1.107,0.117,-0.2761
7.524995,-1.3181,0.1786,-0.2035
7.545133,-1.3496,0.107,0.0694
7.564872,-1.2912,-0.0088,0.0572
7.584239,-1.1668,-0.1461,-0.033
7.605067,-0.9914,-0.1779,0.0117
7.624765,-0.858,-0.066,0.0738
7.644964,-0.7422,0.0257,0.0584
7.665592,-0.6819,0.0894,-0.042
7.686075,-0.8402,0.1116,-0.1832
7.704288,-1.1243,0.0467,0.0188
7.724627,-1.2782,-0.0205,0.2428
7.751043,-1.1615,-0.032,0.0452
7.764473,-1.0185,-0.0142,-0.1099
7.785878,-0.9462,-0.0581,-0.0782
7.805219,-0.9589,-0.0911,0.0198
7.82667,-1.022,-0.0266,0.033
7.844552,-1.0234,0.0283,-0.0159
7.865098,-0.9868,0.0127,-0.0127
7.883949,-1.0102,-0.0076,0.0293
7.903229,-1.0422,-0.0281,0.0733
7.923499,-1.0163,-0.0244,0.0738
7.944627,-0.9724,-0.0362,0.0117
7.963199,-0.9646,-0.022,-0.0071
7.984148,-0.9804,-0.0049,0.0188
8.003624,-0.997,0.0034,0.0279
8.023642,-0.9961,0.0144,0.0046
8.047503,-0.9961,0.0149,-0.0173
8.063378,-1.0227,0.0029,-0.0195
8.08341,-1.0364,-0.023,0.0051
8.104789,-1.0657,-0.0325,0.0042
8.123562,-1.0449,-0.0259,0.0029
8.144041,-0.989,-0.0225,0.0056
8.164754,-0.9621,-0.0327,-0.0034
8.184725,-0.9699,-0.0413,-0.0242
8.204492,-0.979,-0.0347,-0.0501
8.223688,-0.9951,-0.0369,-0.0467
8.243972,-1.0188,-0.0447,-0.0252
8.263942,-1.0268,-0.0508,-0.0181
